timestamp,symbol,signal,action,signal_strength,confidence,price,position_size,trade_value,commission,margin_used,leverage,capital_after,available_margin,profit_loss,trade_return_pct,capital_before,mfe,mae,exit_reason
05:00 2024/02/03,BTCUSDT,WEAK_BUY,BUY,0.3,0.25,42971.9,0.1512616384195253,6500.325000000001,0.6500325000000001,1300.0,5.0,9999.3499675,8700.0,,,,,,
06:00 2024/02/03,BTCUSDT,TREND_REVERSAL,SELL,,,43176.741055,-0.1512616384195253,6530.984593594883,0.6530984593594884,1300.0,,10029.356462635524,,30.00649513552312,2.3081919335017784,9999.3499675,0.005199682420101114,4.9997500125133956e-05,TREND_REVERSAL
00:00 2024/02/04,BTCUSDT,BUY,BUY,0.5,0.4,43076.2,0.1513383655176894,6519.407654798128,0.6519407654798128,1303.8163401426182,5.0,10028.704521870044,8696.183659857383,,,,,,
01:00 2024/02/04,BTCUSDT,TREND_REVERSAL,SELL,,,43209.03944,-0.1513383655176894,6539.1854044389775,0.6539185404438977,1303.8163401426182,,10047.82835297045,,19.123831100405937,1.4667580480172593,10028.704521870044,0.003979868654131433,0.00021713480606190604,TREND_REVERSAL
14:00 2024/02/04,BTCUSDT,BUY,BUY,0.9,0.75,42731.8,0.1868033037164067,7982.840535819436,0.7982840535819437,1596.4882827497495,5.0,10047.030068916867,8403.51171725025,,,,,,
15:00 2024/02/04,BTCUSDT,TREND_REVERSAL,SELL,,,42820.85885,-0.1868033037164067,7999.077901153931,0.7999077901153931,1596.4882827497495,,10062.467526461247,,15.437457544379432,0.9669634103289729,10047.030068916867,0.002575550459017405,0.0005367300986114183,TREND_REVERSAL
16:00 2024/02/04,BTCUSDT,BUY,BUY,0.9,0.7,42779.8,0.18686556327518525,7994.471127370962,0.7994471127370962,1598.814284759954,5.0,10061.66807934851,8401.185715240046,,,,,,
17:00 2024/02/04,BTCUSDT,TREND_REVERSAL,SELL,,,42915.554115,-0.18686556327518525,8019.439192966169,0.8019439192966169,1598.814284759954,,10085.834201024421,,24.166121675910393,1.5115027371386474,10061.66807934851,0.00444956480454261,0.0015295938319977872,TREND_REVERSAL
18:00 2024/02/04,BTCUSDT,BUY,BUY,0.5,0.4,42927.1,0.15271919674671416,6556.120020277407,0.6556120020277407,1311.1584461331747,5.0,10085.178589022393,8688.841553866825,,,,,,
19:00 2024/02/04,BTCUSDT,TREND_REVERSAL,SELL,,,43037.148035000006,-0.15271919674671416,6572.598678174629,0.6572598678174629,1311.1584461331747,,10100.999987051797,,15.821398029404175,1.206673234349679,10085.178589022393,0.004319983711486568,0.00034350370090495267,TREND_REVERSAL
08:00 2024/02/05,BTCUSDT,BUY,BUY,0.9,0.75,42334.6,0.18955377688809405,8025.084557212858,0.8025084557212858,1604.9366646093413,5.0,10100.197478596076,8395.06333539066,,,,,,
09:00 2024/02/05,BTCUSDT,TREND_REVERSAL,SELL,,,42510.27438,-0.18955377688809405,8057.983065278181,0.8057983065278181,1604.9366646093413,,10132.290188354871,,32.09270975879504,1.9996246871590253,10100.197478596076,0.004740170837522604,0.0025301142429898947,TREND_REVERSAL
10:00 2024/02/05,BTCUSDT,BUY,BUY,0.7,0.55,42432.8,0.15520985234136483,6586.317921861789,0.658631792186179,1317.1977244861332,5.0,10131.631556562685,8682.802275513866,,,,,,
11:00 2024/02/05,BTCUSDT,TREND_REVERSAL,SELL,,,42697.964995,-0.15520985234136483,6627.144842150715,0.6627144842150715,1317.1977244861332,,10171.795762367396,,40.1642058047109,3.0492161547257313,10131.631556562685,0.006689734516497981,0.0002880090153975989,TREND_REVERSAL
14:00 2024/02/05,BTCUSDT,BUY,BUY,0.5,0.4,42797.3,0.1544879524067828,6611.997828901084,0.6611997828901085,1322.3334491077615,5.0,10171.134562584506,8677.666550892238,,,,,,
15:00 2024/02/05,BTCUSDT,TREND_REVERSAL,SELL,,,43045.04764,-0.1544879524067828,6649.941271156018,0.6649941271156018,1322.3334491077615,,10208.413010712324,,37.278448127818265,2.819141280360996,10171.134562584506,0.008190764554530284,0.0007906613989984051,TREND_REVERSAL
